index	sentence_bleu	source_am	reference_en	hypothesis_en
28	2.07	። የዚህ እንሰሳ የላባ ቀለም ደማቅ ቡናማ ከላይ እና ነጣ ወይም ብርትኳናማ ካታች ነው ብለዋል ተመራማሪዎች።	. Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.	Researchers believe that the color of this tattoo is the brilliant brown brown of coffee above and out of the coal or silver.
471	2.10	በጣም የተደናገጠው ንጉስ ሉዊስ 16 ኛ፣ ንግስት ማሪ አንቶይኔቴ ንግስት ማሪ አንቶይንትቴ ሁለቱ ትናንሽ ልጆቻቸው (የ 11 ኣመቷ ማሪ እሴይ እና የአራት ኣመቷ ሉዊ-ቻርለስ) እና የንጉሱ እህት ማዳም ኤልዛቤት በኦክቶበር 6 ቀን 1789፣ በተቆጣው የገበያ ሴቶች ስብስብ ከቬርሳይ ወደ ፓሪስ እንዲመለሱ ተገደዱ።	The terrified King Louis XVI, Queen Marie Antoinette their two young children (11 year old Marie Therese and four year old Louis-Charles) and the King's sister, Madam Elizabeth, on the 6th October 1789 were forced back to Paris from Versailles by a mob of market women.	The most shocked king Louis 16th, Queen Marine Anthony St. Maritte Anthony Anthony Anthony, was 11 years old and four years old, Marsey, and her four-year-old daughter, were forced to return to the Senior Senior Senior Senior Senior Senior Senior Senior, the Senior of the Senior of the Senate of the Senateate League, and the Senior of the Senior of the Senior of the Senior of the King Penior of the Senior of the Senior of the King
467	2.12	“የላይ እጥፋት” ምልክት V ይመስላል እና “የታች እጥፋት ምልክት” የስቴፕለር ሽቦ ወይም ታችኛው ክፍሉን ያጣ ካሬ ይመስላል።	The \"up bow\" mark looks like a V and the \"down bow mark\" like a staple or a square missing its bottom side.	\"It seems to be a sympathizer and if the tapel wire or lower wire has lost its upper chamber.
819	2.16	ጨርቁ በጣም እንዳይሞቅ ይጠንቀቁ (መጨማደድን ወይም በአንዳንድ ከባድ ሁኔታዎች መቃጠልን ሊያስከትል ይችላል)።	Be careful not to allow fabric to become too hot (which can cause shrinkage, or in extreme cases, scorch).	Copy may lead to the burning of degradation or burning in some severe cases.
588	2.19	ጥንዶች ልጅ ማሳደግ የነሱ ፍላጎት እንዳልሆነ ወይም የልጃቸው ፍላጎት እንዳልሆነ ሊወስኑ ይችላሉ።።	A couple may decide it is not in their best interest, or in the interest of their child, to raise a baby.	They can determine whether or not a child is interested in raising a child.
47	2.20	በቻይና የኢኮኖሚ ወጪ መሰረት ይሰራሉ በማለት ለማለፊያዎቹ ቁጥር አላስቀመጠም።	He did not set a figure for the cuts, saying they will be made based on China's economic output.	The number of jobs in China is not expected to be operational.
647	2.20	የፍንዳታ ቦንብ የሚሰራው ሁሉንም ሃይል በሚቻለው ፕሮቶን እና ኒውትሮን ወደ ኒውክለስ በመሰብሰብ በሚለው መመሪያ ነው።	The fission bomb works on the principle that it takes energy to put together a nucleus with many protons and neutrons.	The flowerboard works by collecting all-powerable protocols and nitro to Newcastle.
232	2.22	ምሽቱን የጀመረው ዘፋኙ ሳንጁ ሻርማ ነበር፣ ተከትሎ ጃይ ሻንካር ቹድሃሪም chhappan bhog bhajan ን አስደምሟል። ዘፋኙ ራጁ ካንደልዋል አብሮት ነበር።	Singer Sanju Sharma started the evening, followed by Jai Shankar Choudhary. esented the chhappan bhog bhajan as well. Singer, Raju Khandelwal was accompanying him.	The fortress started when the singer Sandu Saun Sharma was following Jay Shangharim, Jay Schunchurim, who was with him as a wrestler.
783	2.24	ኣመቱን በሙሉ ወደ ባህር ውስጥ ጉዞዎች ይደረጋሉ፣ በባህር ውስጥ በተነሱት በእነዚህ ምክንያቶች የተነሳ የሚከሰቱ ጉዳቶች እምብዛም አይደሉም።	Many trips to the reef are made all year around, and injuries due to any of these causes on the reef are rare.	All year-round trips will be taken into the sea, with injuries caused by these factors.
30	2.34	የዳይነሶር ላባዎች የዳበረ ራቺስ የሚባል ዘንግ ስለሌለው፣ ነገር ግን ሌሎች የላባ ባህርያት — ባርብስ እና ባርቡልስ — ስላለው ተመራማሪዎች ራቺስ ከእነዚህ ሌሎች ባህርያት የቆየ ዝግመተ ለውጥ ውጤት እንደሆነ ይላሉ።	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	The DNACLBs say there is no dictator of a flying rash, but other labors say that it is a long-term evolution of such traits as barnabs and Barbuds.
893	2.37	የዳግም መግባት ድንጋጤ ከባህል ድንጋጤ (ያለው የጫጉላ ደረጃ ትንሽ ነው) ቀድሞ ይመጣል፣ ለረጅም ጊዜ ይቆያል እና የበለጠ ከባድ ሊሆን ይችላል።	Re-entry shock comes on sooner than culture shock (there's less of a honeymoon phase), lasts longer, and can be more severe.	The shock of dropping is one of the smallest hipes from the culture's shock, it comes early, it can last long and become more difficult.
816	2.43	አይነተኛ ትኬቶች ¥7፣000 አካባቢ የሚያስከፍሉ ሆኖ ሳለ አብዛኞቹ የሁነት ትኬቶች በ¥2፣500 እና ¥130፣000 መካከል እንደሚያስከፍሉ ይጠበቃል።	It's expected that most event tickets will cost between ¥2,500 and ¥130,000, with typical tickets costing around ¥7,000.	While single tickets are being paid in an area of 7,000, most of the generosity tickets are expected to pay between 2,500 and 130,000.
203	2.43	ማየት የተሳናቸው የፖላንድ ወንዶች የበረዶ ተንሸራታች ማኪጅ ክረዝል እና መሪው ኣና ኦጋርዝይንስካ ሱፐር-ጂ ላይ አስራ ሶስተኛ ሆነው አጠናቀዋል። የሳውዝ ኮሪያው ሰኦርክ ፓርክ በወንዶች መቀመጫ ሱፐር-ጂ ሃያ አራተኛ ሆኖ አጠናቋል	Poland's men's visually impaired skier Maciej Krezel and guide Anna Ogarzynska finished thirteenth in the Super-G. South Korea's Jong Seork Park finished twenty-fourth in the men's sitting Super-G.	The Polish men who had been seen were ninetted and the leader, Aki Kraz, Aki Russell, and Ogunnah Sowe, the head of the Polish men, finished the third while the South Korea's Saaoustu Park was ninety-fourth in men's seat.
863	2.45	የእጅ-ጥበብ ምርቶች ምንም እንኳን በተመሳሳይ በጅምላ ከሚመረቱ ምርቶች በእድሜ ያነሱ ቢሆኑም እንደ ጥንታዊ ሊገለጹ ይችላሉ።	Handicraft products might be defined as antiques, though they are younger than similar mass-produced goods.	The artificial products, although at the same time, are older than the products produced by mass, can be described as ancient.
991	2.47	ግን ከምድር ወገብ ትንሽ ዲግሪዎች በስተሰሜን “በከፍተኛ ሃሩሮች” ውስጥ ከተመደቡ ሙቀትን (ሁልጊዜ) እና ጠንካራ ጸሃይን (ሰማዩ ሲጠራ በጣም አልፎ አልፎ) ሊቋቋሙ ያስፈልግዎታል።	But being placed in the \"high tropics\" just a few degrees north of equator you will need to deal with both heat (always) and strong sun (when the sky is clear, more rarely).	But when it comes to light of the earth's small-degree bachelor's small degrees to the north of the earth, you need the hottest heat from those assigned to the hardest parts of Hungary, and the tropical sun is called strong, you need it to be very clear.
573	2.53	ዛሬ ብዙ የቅሪተ አካል ጥናት ተመራማሪዎች አንድ የዳይኖሰር ቡድን መትረፉን እና ዛሬ በህይወት አለ ብለው ያምናሉ። ወፎች ብለን እንጠራቸዋለን።	Many paleontologists today believe that one group of dinosaurs survived and is alive today. We call them birds.	Today, many fossil studies have found that there is a single nootropic team survivors and that today we call the birds to believe.
270	2.57	ኤድጋር ቬጉላ የክንድ እና የመንገጭላ ቁስሎች ተቀስቅሷል ኪሪስቶፈር ሽናይደር ለፊቱ መልሶ ማቋቋም የሚያስፈልገውን ቀዶ ጥገና ተፈልጓል።	Edgar Veguilla received arm and jaw wounds while Kristoffer Schneider was left requiring reconstructive surgery for his face.	Edgar Vegula has been wounded with wound and headaches and Kystrostor nasha has been looking for rehabilitation for the body.
976	2.65	የቃላቸው አጠራር በሚከተለው አናባቢ መሰረት ሊለያይ ስለሚችል በጥንቃቄ መታየት ያለባቸው ዋናዎቹ ፊደላት c እና g ናቸው።	The main letters to watch out for are c and g, since their pronunciation varies based on the following vowel.	Their pronunciation may vary according to the anabby, so the main ones that should be carefully seen are folders and are uniformal.
520	2.65	በተጨማሪም “የግል ተሳትፎ” እና “ቀጣይ ግንኙነቶች” በኢጊሜ እና ማኮርድ (1998) የድርጣቢያዎች የታዳሚዎች ምላሾችን ሲመረምሩ እንደ አዲስ ተነሳሽነት ገጽታዎች ተለይተዋል።	“Personal involvement” and “continuing relationships” were also identified as new motivation aspects by Eighmey and McCord (1998) when they investigated audience reactions to websites.	In addition, new initiatives have been identified as a result of a new initiative, examining the responses of the audience when both private participation and direct interaction of the U.S.C. \"
981	2.80	ቢሆንም ትንሽ እስጳኛ የሚያውቁ ሰዎች በችኩለት ፖርቹጋልኛ ቅርብ ስለሆነ ለይቶ ማጥናት እንደማያስፈልገው ሊያጠቃልሉ ይችላሉ።	However, people who know a little Spanish may hastily conclude that Portuguese is close enough that it need not be studied separately.	still, those who have little bishop know may say that since it is near portuguese, it is not necessary to study.
432	2.81	የ 35 ሚሜ ቅርጸት በእውነቱ በተወሰነ መልኩ ግራ የሚያጋባ፣ 36 ሚሜ ስፋት በ 24 ሚሜ ቁመት ያለው ነበር።	The 35mm format is actually, somewhat confusingly, 36mm in width by 24mm in height.	The 35 miam format was actually confusing to a certain degree, 36 mm, with a height of 24 mm.
598	2.82	ባዮሎጂያዊ ሰኣቶች እራሳቸውን የሚደግፉ ኦሲሌተሮች ናቸው ፣ የውጭ ምልክቶች ባይኖሩም እንኳ ነጻ የማሽከርከር ብስክሌት ጊዜን የሚቀጥሉ።	Biological clocks are self sustaining oscillators which will continue a period of free-running cycling even in the absence of external cues.	Biological hours are oxygenists who support themselves, continue the time of free driving even if there are no symptoms.
55	2.82	የአሁኑ ሴኔተር እና የአርጀትኒና ቀዳማዊ እመቤት ክርስቲና ፈርናንዴዝ ዴ ክሪችነር ለፕሬዝዳንትነት ተወዳዳሪ እንደሆነች ትናንትና ማታ በ ላ ፕላታ፣ ከ ቡዌኖስ ኤሪስ 50 ኪሎሜትሮች (31 ማይሎች) በሚርቅ ከተማ ላይ አስታወቀች።	Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.	The current Senator and Argentina Festival Fernandes Dr. Chriser announced last night that she was a competitive candidate for president and night in Lapella, Bulanta Airbus Abert, 50 miles and 50 kilometers in the city.
48	2.91	ሁ ታዳጊ ሀገሮች “ውሀን አሁን በክሎ በኋላ የማጥራት መንገድን እንዲተዉ” አበረታተዋል።	Hu encouraged developing countries \"to avoid the old path of polluting first and cleaning up later.\"	Higher countries are now urging the country to set up a highway.
271	2.92	ወደ አምስተኛው ሰው ራስ ላይ እያመለከተ የ Uka መሳሪያ አልተሳካም። ሽናይደር ቀጣይነት ያለው ህመም ፣ በአንደኛው አይኑ ላይ ኣይነ ስውርነት ፣ የጎደለው የራስ ቅል ክፍል እና ከታይታኒየም እንደገና የተገነባ የፊት ገጽታ አለው።	Uka's weapon failed whilst pointed at a fifth man's head. Schneider has ongoing pain, blindness in one eye, a missing section of skull and a face rebuilt from titanium.	While looking at the head of the fifth man, the Nashira has not been successful. The Nashira has a front feature that was rebuilt on one of its eyes, the blindness of the first eye, an indecent part of the selfless and rebuilt from Titanium.
961	3.01	መሰረታዊ ጨዋነቶችን ካሳዩ የፓሪሳዊያን ድንገተኛ ውጫዊ ባህሪ በፍጥነት ይተናል።	Parisians' abrupt exteriors will rapidly evaporate if you display some basic courtesies.	If you see the basics of the oppressor, the Emergency output feature is rapidly changing.
583	3.05	ይህ ቃል ከጥንታውያን የትኋኖች ዝርያ የመጣ ሲሆን፣ እነዚህ ሰዎችን ተጠግተው ለመኖር በከፍተኛ ሁኔታ የተስተካከሉ ነፍሳት ናቸው።	This term derives from ancient familiarity with Bed-bugs, which are insects highly adapted to parasitize humans.	This word comes from the reptiles of the ancient, these are highly adjusted in order to keep people safe.
669	3.06	ሁሉም የሚገኙ ግብኣቶች በድርጅቱ የስራ ክፍሎች ውስጥ በአግባቡ ጥቅም ላይ ከዋሉ፣ ፈጠራ እና ብልህነት ጎልተው ይታያሉ።	When all available resources are effectively used across the functional departments of an organization, creativity and ingenuity can transpire.	All of the resources available will be displayed if they are properly used in the workshops of the organization.
319	3.09	አብረዋት የሚሰሩ ታጋዮችም ለሉና ሃዘናቸውን ገለጹ።	Fellow wrestlers also paid tribute to Luna.	the men who were working with her expressed their grief and grief.
86	3.15	\"እሱ [ዌልስ] ከመጀመሪያውም እየዋሸን ነበር። መጀመሪያ፤ ይህ ለህጋዊ ምክንያቶች እንደሆነ በማስመሰል። ሁለተኛ፤ እስከ ስእሉ መሰረዝ ድረስ እኛን እየሰማን እንደሆነ በመምሰል።\"	\"He [Wales] basically lied to us from the start. First, by acting as if this was for legal reasons. Second, by pretending he was listening to us, right up to his art deletion.\"	\"he was lying first and foremost in the first place, a second to testify that this is a legal reason. Let us be like we are hearing it until it is canceled.\"
473	3.17	ለአመጽ የተሰባሰቡ ሰዎች የንጉሱን እና ንግስቲቱን የሰረገላ መስኮቶች በስፋት እንዲከፍቱ አስገደዷቸው።	The mob of people forced the King And Queen to have their carriage windows wide open.	they forced those who were gathered to open up the king and the chariot windows to the king.
853	3.21	በበረዶ መንሸራተቻ ቦርሳ ይዞ መጓዝ ይህ እንቅስቃሴ ባክካንትሪ የበረዶ መንሸራተት፣ የበረዶ ጉብኝት ወይም የበረዶ ተራራ መውጣት ተብሎ ይጠራል።	Backpacking by ski: This activity is also called backcountry ski, ski touring or ski hiking.	Traveling through a ice-carriage board is called a bachelor's ice skiing, a visit or a mountain.
940	3.22	የፖለቲካ ስምምነቶች ውድቀት እንዳለ ሆኖ በነዚያ ሁለት የሞልዶቫ ክፍሎች መካከል የኢኮኖሚ ግንኙነቶች ዳግም ተቋቁመዋል።	Economic links have been re-established between these two parts of Moldova despite the failure in political negotiations.	According to political agreements, economic relationships between the two moldova departments were restored.
297	3.23	ማርቴሊ ዘጠኝ አባላት ባሉት አዲስ የሽግግር ምርጫ ምክር ቤት (ሲኢፒ) ውስጥ ቃል ገብቷል።	Martelly swore in a new Provisional Electoral Council (CEP) of nine members yesterday.	Marteli has vowed to be the U.S. Secretary-General in the new Transit Council.
475	3.28	የዩናይትድ ስቴትስ ኢምፔሪያሊዝም የጦርነቱንየወጪ ለፊሊፒንስ ሰዎች ከፍለዋል።	The war expenditures of U.S. imperialism in the conquest of the Philippines were paid for by the Filipino people themselves.	The United States Emperialism has opened the war to the Philippines.
845	3.30	በመጀመሪያ ብዙ ጋላቢዎች ሂል እና ለስላሳና እና ጠባብ ሶል ያላቸውን የጋላቢ ቦቲዎቻቸውን ያደርጋሉ።	First, most riders wear riding boots with a heel and a smooth, quite narrow, sole.	First of all, many riders go and do their vendor booths with soft and narrow sore.
584	3.32	ሁለቱም ተናዳፊ-ትንኞች እና የአልጋ ትኋኖች ጥገኝነት ያላቸው፣ ጎጆአቸው ለመኖር ወይም በጥገኛ መኖሪያቸው ለመኖር የተስተካከሉ ናቸው።	Both Assassin-bugs and Bed-bugs are nidicolous, adapted to living in nest or housing of their host.	Both analysts and bedrooms are tailored to survive, live a cottage, or live in their own countryside.
490	3.34	በአስራ ሁለተኛው ክፍለ ዘመን በዋነኝነት ክርስቲያናዊ ጦርነት ተዋጊዎች እንደ ሃር እና ቅመም ያሉ ከባይዛንታይን ገበያ ከሚያቀርባቸው በላይ ዋጋ የተሰጣቸው ስጦታዎችን ይዘው በመመለሳቸው ሁኔታው ዝቅ አለ።	Its status declined during the twelfth century mainly due to the fact that Crusaders had returned bearing gifts such as silks and spices that were valued more than what Byzantine markets offered.	in the second century, christian war fighters, such as harry and lice, took on more gifts from the bizan market than they could offer.
135	3.36	ብዙም ሳይቆይ የአመጽ መሳሪያ የታጠቁ መኮንኖች ወደ ግቢው በመግባት እስረኞችን በአስለቃሽ ጭስ ዘጉ።	Soon, officers equipped with riot gear entered the yard and cornered the inmates with tear gas.	shortly afterward, the armed officers came into the courtyard and shut the prisoners on a bush.
107	3.36	የኦሃዮ ባለስልጣናት እንደተናገሩት፣ በፔንሲልቬንያ ፒትስበርግ የህጻናት ሆስፒታል ውስጥ የምትሰራ አንድ ዶክተር፣ እናቷ ረቡእ እለት በመኪናዋ የኋላ መጫኛ ውስጥ ሙተው ስለተገኙ፣ በአሰቃቂ ግድያ ትከሰሳለች።	A doctor who worked at Children's Hospital of Pittsburgh, Pennsylvania will be charged with aggravated murder after her mother was found dead in the trunk of her car Wednesday, authorities in Ohio say.	According to Ohio's authorities, a doctor who works at Pennsylvania Pittsburg Hospital in Petersburg, and her woman was suffering from trauma during the car on Wednesday morning.
345	3.37	የጥቅል ጎመን ጁስ በኬሚካሉ አሲድነት ወይም ቤዝነት (አልካሊ) መሰረት ቀለም ይቀይራል።	The cabbage juice changes color depending on how acidic or basic (alkaline) the chemical is.	The golf juice will change the color of kemuca as a acid or base.
728	3.37	የሆንግ ኮንግ ሰማይን የሰሩት የፎቆች ድርድር በቪክቶሪያ ሃርበር ምክንያት የሚያብለጨልጭ ከሆነው የባር ቻርት ጋር ተነጻጽሯል።	The parade of buildings that make the Hong Kong skyline has been likened to a glittering bar chart that is made apparent by the presence of the waters of Victoria Harbour.	the threads that made the hong konging sky were compared to the chariot charter that was overlapping because of the harbor of victoria.
439	3.38	ሁሉን አጥፊ የሆነው ሃይሉ ከሊቅ እስከ ደቂቅ ሁሉንም የሚነካ ነው።	Its all-pervading power affected everyone from king to commoner.	the slanderer is the one that reaches all of lystra to the threshold.
582	3.40	ትኋን የሚለው ቃል በኢንቶሞሎጂስት የነፍሳት ቡድን በመደበኛ መልክ ጥቅም ላይ የሚውለው ስም ነው።	The term bug is used by entomologists in a formal sense for this group of insects.	The word White is the name used on a regular basis by an inscription group in the ethics.
948	3.41	ወደ ሰሜን እና በቀላሉ ሊደርስ በማይችሉት ሳንቲራ የምትባል ከተማ አስደናቂ ፍቅር ያለው እና አስገራሚ በሆነችው በሲንቲራ ከተማ በሎርድ ባይሮን ከተመዘገበ አስደናቂ ታሪክ በኋላ ለባእድ አገር ሰዎች ታዋቂ ሆነች።	To the north and within easy reach is the romantic and fascinating town of Sintra and which was made famous to foreigners after a glowing account of its splendours recorded by Lord Byron.	The city of Santira, a city that is not able to reach North and easily, became famous for foreigners after recording Loron Biard in the amazing city of Sydney.
19	3.41	እንደ NSA፣ እንደ ካምፕ ዴቪድ አኮርድስ፣ 1978፤ በ1970ዎች የአሜሪካ እና የቻይና ግንኙነትን መመለስ፤ የኢራን ታጋች ቀውስን የመራው የኢራን ርእዮተ አለም፣ 1979፤ እና በአፍጋኒስታን የሶቭየት ወረራ፣ 1979 ያሉ የአለም ጉዳዪች በዲፕሎማሲ መንገድ ለማስተናገድ ካርተርን ረዳው።	As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.	In 1970s, as a Camp David Aborg, returned the US and Chinese communication crisis, in 1979 to host Soviet Soviet Union, which helped with the control of Soviet Union, 1979 and Afghanistan.
556	3.42	አብዛኛውን ጊዜ የቤት ውስጥ ፍየሎች በተራሮች ወይም በሌሎች የግጦሽ ስፍራዎች በሚንከራተቱ መንጋዎች ውስጥ ተጠብቀው ቆይተው ብዙውን ጊዜ ህጻናት ወይም ያደጉ ከሚታወቁት እረኛ ጋር የሚመሳሰሉ ናቸው። እነዚህ የእርባታ ዘዴዎች እስከዛሬ ድረስ ጥቅም ላይ ይውላሉ።	Domestic goats were generally kept in herds that wandered on hills or other grazing areas, often tended by goatherds who were frequently children or adolescents, similar to the more widely known shepherd. These methods of herding are still used today.	often, domestic goats have been preserved in the flock of mountains or other pastures and are often used as a shepherd that is known to children or to be raised. They are used to this day.
745	3.47	ጓራኒ አሁን ምስራቅ ፓራጓይ የሆነው ውስጥ ከእጅ ወደ አፍ ግብርናንም እየሰሩ እንደ ክፊል-ዘላን አዳኞች የሚኖሩ፣ በጣም አስፈላጊ የሃገሩ ተወላጅ ቡድን ነበሩ።	The Guaraní were the most significant indigenous group inhabiting what is now Eastern Paraguay, living as semi-nomadic hunters who also practised subsistence agriculture.	garani, now in the eastern paragraph, was a part of the country's most important indigenous group, who were working as a tribute, and working as a tribute.
4	3.48	“አሁን ምንም እያደግን አይደለም። ለቅርብ ተባባሪው ደውያለሁ አና ኢሜይል ልክያለሁ እናም በጣም ተስማሚ መልሶችን ተቀብያለሁ። ለጊዜው፣ ይህ በእርግጥ በቂ ነው።” አለ ዳኒየስ።	Danius said, \"Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.\"	I'm not saying anything wrong now, I've called the close-tracker An email and received the most suitable answers, which is really enough for the moment.
493	3.49	መጀመሪያ ላይ፣ ቀሚስ በምስራቅ በባይዛንታይን ባህል ላይ ከፍተኛ ተጽእኖ አሳድሯል።	At the beginning dress was heavily influenced by the Byzantine culture in the east.	Early on, Moshe had a major impact on the Nilean culture.
716	3.49	ወደ ጎማ ለመዞር ቦዳ-ቦዳ (የሞተር ብስክሌት ታክሲ) መጠቀም ይችላሉ። መደበኛው (አካባቢያዊ) ዋጋ ለአጭር ጉዞ ~ 500 የኮንጎ ፍራንክ ነው።	You can use boda-boda (motorcycle taxi) to get around Goma. The normal (local) price is ~500 Congolese Francs for the short ride.	To turn to Goma, a bike-carriage can be used for a 'normal bike'. The standard is a short trip to a shortcut. Franch for a short trip.
183	3.51	የመሬት መንቀጥቀጡ ማእከል የነበረው፣ ከሰሜናዊ-ሰሜንምስራቅ ዲሎን 20 ኪ።ሜ (15 ማይል) አካባቢ ሲሆን ከቡቴ በስተደቡብ ደግሞ 65 ኪ።ሜ (40 ማይል) ያህል ነበር።	The earthquake was centered about 20 km (15 miles) north-northeast of Dillon, and about 65 km (40 miles) south of Butte.	It was the center of the earthquake, from the Myanmar, D.C. 20 km east of Dilon, and the 15 p.m., on the south of Buffette, and 65 kilometers on the south.
278	3.53	ምክትል ኢንስፔክተር ጀኔራል ዲ ኬ አርያ “የስዊስዋን ሴት አስገድደው የደፈሯትን አምስት ሰዎችን በቁጥጥር ስር አውለናል እና ሞባይልና ላፕቶፗን አስመልሰናል” ብለዋል።	Deputy Inspector General D K Arya said, \"We have arrested five persons who raped the Swiss woman and recovered her mobile and laptop\".	President Inter-General D. Kiya said he had arrested five people who were forced to kill her island and said he had taken care of mobile and Lapon, and he said he would return to it.
